fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-12-03",2000-04-27",M",F"
2020-11-18",2001-10-17",M",F"
2020-03-05",2001-01-11",M",F"
2020-03-09",1997-01-24",M",F"
2020-03-17",2000-05-09",M",F"
2020-09-04",2000-05-19",M",F"
2020-12-15",1997-07-25",M",F"
2020-10-04",2000-12-07",M",F"
2020-03-09",1991-07-24",NO DECLARA",NO DECLARA"
2020-12-11",2000-10-12",M",F"
2020-12-15",1996-04-25",NO DECLARA",F"
2020-09-17",1996-12-19",M",F"
2020-08-25",2000-07-27",M",F"
2020-12-28",2000-08-12",M",F"
2020-01-30",2000-12-27",M",F"
2020-01-07",2001-03-23",M",F"
2020-11-27",1990-03-23",NO DECLARA",NO DECLARA"
2020-02-17",1997-01-06",M",F"
2020-10-14",2000-12-11",M",F"
2020-01-10",1997-05-29",M",NO DECLARA"
